prompt_id,mean_fluency,mean_relevance,hallucination_rate
1,1,1,1
2,4,3,0
3,4,4,0
4,3,2,0
5,2,1,1
6,3,2,1
7,3,2,0
8,3,2,0
9,3,2,0
10,3,1,0
11,1,1,1
12,2,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,4,3,0
21,1,1,1
22,3,2,0
23,3,2,0
24,1,1,1
25,3,2,0
26,4,3,0
27,1,1,1
28,3,2,0
29,1,1,1
30,3,2,0
31,1,1,1
32,4,3,0
33,1,1,1
34,1,1,1
35,3,2,0
36,2,2,0
37,2,2,0
38,4,3,0
39,3,2,0
40,1,1,1
41,4,3,0
42,1,1,1
43,3,2,1
44,1,1,1
45,1,1,1
46,4,2,0
47,4,2,0
48,5,5,0
49,1,1,1
50,1,1,1
,2.26,1.72,0.52
